id,url,title,description,config,created,type,active,user_id,publisher_id,frequency,next_run
70c549b6-4ab2-414c-9543-43f648d9dea7,http://majalengkakab.ina-sdi.or.id/csw/,Pemerintah Kabupaten Majalengka - Spasial,"","",2021-09-09 15:40:33.47748,csw,t,"","",DAILY,2022-02-15 20:12:51.27327
366bbe6e-3e58-440c-a392-d135dbcb8020,https://tanahair.indonesia.go.id/sdi/,Pemerintah Provinsi Kalimantan Tengah - Spasial,"","{
 ""organizations_filter_include"": [""provinsi-kalimantan-tengah""]
}",2021-11-04 01:55:33.616256,ckan,t,"","",MANUAL,
864b5706-d7db-4c20-9743-6c39a4acc87a,https://opendata.makassar.go.id/api/3/action/package_search,Pemerintah Kota Makassar - CKAN,"","",2021-09-10 12:54:44.836077,ckan,f,"","",DAILY,
3b228488-c3b8-4039-be24-6044a664673a,http://appsrv1.deltadatamandiri.com/data/jabar.json,Pemerintah Provinsi Jawa Barat - Testing DCAT Json,"","",2021-09-14 03:33:06.545892,dcat_json,f,"","",MANUAL,
fefe78d5-7025-46b3-aece-594f58a3f077,https://tanahair.indonesia.go.id/sdi/,"Badan Meteorologi, Klimatologi, dan Geofisika - Spasial","","{
 ""organizations_filter_include"": [""badan-meteorologi-klimatologi-dan-geofisika""]
}",2021-12-19 10:29:43.838778,ckan,t,"","",MANUAL,
b8bbba87-0f4b-4d9d-80e2-07666a461af2,http://geoportal.kukarkab.go.id:8080/geonetwork/srv/eng/csw?request=GetCapabilities&service=CSW&version=2.0.2,Pemerintah Kabupaten Kutai Timur - Spasial,"","",2021-09-13 02:33:43.402155,csw,f,"","",DAILY,2021-09-14 02:43:10.967116
47556fed-f696-4632-9ed3-b3b94a387f1a,https://data.go.id/static-asset/csv/data.json,Badan Pusat Statistik - DCAT JSON,"","",2021-09-15 09:50:50.3302,dcat_json,f,"","",MANUAL,
5fc0e5c3-de53-4227-8a1a-82fa656749c3,http://open.data.samarindakota.go.id/,Pemerintah Kota Samarinda - CKAN,"","",2021-09-16 04:25:13.695356,ckan,t,"","",MANUAL,2021-10-19 07:01:11.240009
43e87b3f-f277-4587-8d02-8cea7aab8bb7,http://bandungbaratkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Bandung Barat - Spasial,"","",2021-09-16 13:08:46.77195,csw,f,"","",DAILY,
e010ecbe-1cfe-40a4-99bb-bcd33a57febc,http://datahub.data.go.id/data/DKI/dki.json,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta - DCAT,"","",2021-12-01 09:23:03.547095,dcat_json,f,"","",MANUAL,
a89d3d1b-f35a-48b6-aebb-c256ad43d99c,http://appsrv1.deltadatamandiri.com/data/data_DPR.json,Dewan Perwakilan Rakyat,"","",2021-10-27 04:05:04.848107,dcat_json,f,"","",MANUAL,
b1b03efd-75d8-4ea8-9e58-86f0e102c075,http://bangkalankab.ina-sdi.or.id/csw,Pemerintah Kabupaten Bangkalan - Spasial,"","",2021-10-08 05:50:06.925173,csw,t,"","",MANUAL,
4dcc18c1-aec6-4046-8a7e-a2e704e67a39,http://appsrv1.deltadatamandiri.com/data/jabar.json,Pemerintah Provinsi Jawa Barat - DCAT,"","",2021-10-28 01:08:27.697851,dcat_json,f,"","",MANUAL,
dcc75430-acf6-4b47-abf4-279fb4d569e2,https://api-splpdev.layanan.go.id/bpsdcat/1.0/static-asset/csv/data.json,Badan Pusat Statistik - DCAT,"","",2021-10-30 01:01:36.689483,dcat_json,t,"","",MANUAL,
2fd9d5d5-cada-43da-8c2f-3612cfc67351,http://trenggalekkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Trenggalek - Spasial,"","",2021-09-17 06:57:01.512509,csw,t,"","",MANUAL,
dd598e11-596f-46e7-bafe-67233246c37c,http://tangsel.geoportal.bantenprov.go.id/csw,Pemerintah Kota Tangerang Selatan - Spasial,"","",2021-09-09 04:28:32.583112,csw,t,"","",DAILY,2022-02-15 20:12:52.343435
27535710-e1f6-44eb-90c0-51f69c1fbfa1,https://tanahair.indonesia.go.id/sdi/,Pemerintah Provinsi Bengkulu - Spasial,"","{
 ""organizations_filter_include"": [""provinsi-bengkulu""]
}",2021-09-09 02:41:45.583129,ckan,t,"","",DAILY,2022-02-15 20:12:52.700048
614589f5-2b99-4d19-be12-5f019abdbf7b,http://sintangkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Sintang - Spasial,"","",2021-09-13 02:27:09.47044,csw,t,"","",DAILY,2022-02-15 20:12:48.506197
96360467-cec0-425c-ba63-b84b9218858c,https://tanahair.indonesia.go.id/sdi/,Pemerintah Provinsi Gorontalo - Spasial,"","{
 ""organizations_filter_include"": [""provinsi-gorontalo""]
}",2021-09-09 01:36:17.304074,ckan,t,"","",WEEKLY,2022-02-16 11:42:03.952313
cbce10c0-143f-40bc-b5a8-41cdc428fe6b,http://geoportal.kolakakab.go.id/catalogue/csw,Pemerintah Kabupaten Kolaka - Spasial,"","",2021-09-11 06:51:21.582482,csw,t,"","",DAILY,2022-02-15 20:12:48.871874
c19b7458-41d5-467e-a7bb-372fa05ce819,http://geoportal.bukittinggikota.go.id/csw,Pemerintah Kota Bukittinggi - Spasial,"","",2021-09-08 11:24:40.170507,csw,t,"","",DAILY,2022-02-15 20:12:53.304907
dc91cd30-f845-4c97-a7b5-650a6971ef6d,http://bondowosokab.ina-sdi.or.id/csw,Pemerintah Kabupaten Bondowoso - Spasial,"","",2021-09-08 09:39:33.604401,csw,t,"","",DAILY,2022-02-15 20:12:53.638067
11cbb53d-f120-4281-97a8-1ac1344a92df,https://opendata.blitarkab.go.id/,Pemerintah Kabupaten Blitar - CKAN,"","",2021-09-08 07:53:40.396063,ckan,t,"","",DAILY,2022-02-15 20:12:54.196532
62dc2e63-8473-4b9e-8b41-f0d4ae68c974,http://blitarkab.ina-sdi.or.id/csw,Pemerintah Kabupaten Blitar - Spasial,"","",2021-09-08 15:07:43.523489,csw,t,"","",DAILY,2022-02-15 20:12:52.904175
47cf68b0-8421-4afb-a98b-0bcd1eee14bf,https://tanahair.indonesia.go.id/sdi/,Pemerintah Provinsi Nusa Tenggara Timur - Spasial,"","{
 ""organizations_filter_include"": [""provinsi-nusa-tenggara-timur""]
}",2021-09-08 16:48:44.70072,ckan,t,"","",WEEKLY,2022-02-16 11:42:04.118981
